P/N,Cost to cost comp,Q'ty ,total_value,status,Start Date,Time
C420523050,1.0,2000,2000.0,no delay,20230315,20230407
C420523050,1.0,1960,1960.0,delay,20230410,20230407
02-043751-001-M,1.0,61,61.0,no delay,20230325,20230407
02-043751-001-M,1.0,35,35.0,no delay,20230325,20230407
02-043751-001-M,1.0,59,59.0,delay,20230410,20230407
02-034007-002,,119,,no delay,20230324,20230408
02-037431-001,1.0,40,40.0,invalid date,0,20230408
R811119101,1.0,574,574.0,no delay,20230410,20230412
C420523050,1.0,40,40.0,delay,20230605,20230412
04-00512736-001,1.0,157,157.0,no delay,20230305,20230413
04-00512736-001,1.0,17,17.0,no delay,20230305,20230413
02-037431-001,1.0,15,15.0,no delay,20230411,20230413
8072,,131,,invalid date,0,20230419
8072,,1485,,invalid date,0,20230419
8072,,990,,no delay,20220627,20230419
8072,,1055,,no delay,20220727,20230419
8217,,1049,,no delay,20220627,20230419
8217,,2185,,no delay,20220727,20230419
8151,,900,,invalid date,0,20230419
02-034007-002,,24,,no delay,20230324,20230420
02-034007-002,,16,,no delay,20230407,20230420
C420523050,1.0,3040,3040.0,delay,20230501,20230428
C420523050,1.0,1250,1250.0,delay,20230605,20230428
B122180040-UNCOAT,,1200,,no delay,20230320,20230428
R811116101,1.0,2400,2400.0,no delay,20230410,20230428
8072,,15,,invalid date,0,20230421
8072,,10,,no delay,20220627,20230421
8072,,10,,no delay,20220727,20230421
8217,,21,,no delay,20220727,20230421
02-029457-004,1.0,249,249.0,no delay,20230421,20230427
04-00512734-002,1.0,5,5.0,delay,20230505,20230427
T-9053305-10,1.0,1,1.0,invalid date,0,20230428
T-9053308-10,1.0,1,1.0,invalid date,0,20230428
C426410050,1.0,27,27.0,no delay,20230420,20230510
8072,,500,,no delay,20220727,20230512
8072,,30,,no delay,20220727,20230512
10165-01,1.0,71,71.0,no delay,20221130,20230513
10169-01,,120,,no delay,20221130,20230513
10169-01,,242,,no delay,20221130,20230513
10169-01,,129,,no delay,20230407,20230513
10169-01,,61,,no delay,20230407,20230513
04-00527913-001,1.0,209,209.0,no delay,20230513,20230517
685M12A,,300,,delay,20230522,20230520
C425362050,1.0,208,208.0,no delay,20230220,20230520
C425362050,1.0,1592,1592.0,delay,20230522,20230520
C224059072,,1900,,delay,20230605,20230520
C224059072,,200,,delay,20230703,20230520
C423988050,1.0,4750,4750.0,no delay,20230501,20230520
M624279013,1.0,4200,4200.0,no delay,20230430,20230520
M723824124,,11550,,no delay,20230513,20230520
H211115122,1.0,2700,2700.0,delay,20230724,20230520
H211116122,1.0,175,175.0,no delay,20230310,20230520
H211116122,1.0,3425,3425.0,delay,20230522,20230520
250-3753-01,1.0,30,30.0,no delay,20230421,20230519
04-00536873-002,,27,,no delay,20221130,20230519
02-045740-001-M,1.0,175,175.0,delay,20230528,20230520
02-045740-001-M,1.0,75,75.0,delay,20230528,20230520
02-043750-001-M,1.0,15,15.0,no delay,20230325,20230520
02-043750-001-M,1.0,32,32.0,no delay,20230325,20230520
04-00512736-001,1.0,198,198.0,no delay,20230513,20230520
MISC-OTH,1.0,1,1.0,no delay,20230410,20230523
MISC-OTH,1.0,1,1.0,no delay,20230410,20230523
C15604070,1.0,500,500.0,no delay,20230522,20230525
04-00527913-001,1.0,665,665.0,delay,20230605,20230526
04-00436857-002,1.0,35,35.0,invalid date,0,20230510
C224483072,,1800,,delay,20230619,20230603
R811115C101,1.0,378,378.0,no delay,20230220,20230531
R811115C101,1.0,1476,1476.0,no delay,20230522,20230531
04-00512736-001,1.0,853,853.0,delay,20230620,20230602
04-00512734-002,1.0,253,253.0,no delay,20230505,20230602
MISC-SETUP,1.0,1,1.0,no delay,20230420,20230605
200257-00,1.0,5,5.0,no delay,20230531,20230607
200262-00,1.0,4,4.0,no delay,20230531,20230607
C15594070,1.0,2000,2000.0,no delay,20230531,20230611
C420523050,1.0,750,750.0,no delay,20230605,20230611
C423988050,1.0,3000,3000.0,no delay,20230605,20230611
M723532124,1.0,1367,1367.0,no delay,20230530,20230611
M624279013,1.0,645,645.0,no delay,20230430,20230611
R811115C101,1.0,1118,1118.0,no delay,20230520,20230611
H211115122,1.0,3151,3151.0,delay,20230821,20230611
H211116122,1.0,2600,2600.0,no delay,20230605,20230611
04-00325022-002,1.0,53,53.0,delay,20230810,20230612
04-00527913-001,1.0,223,223.0,delay,20230619,20230615
04-00512734-002,1.0,122,122.0,invalid date,0,20230615
02-043750-001-M,1.0,28,28.0,no delay,20230325,20230615
02-043750-001-M,1.0,136,136.0,no delay,20230410,20230615
C426410050,1.0,3,3.0,no delay,20230420,20230510
8072,,951,,no delay,20220727,20230619
8217,,306,,no delay,20220727,20230619
8151,,1000,,invalid date,0,20230619
8169,,200,,no delay,20220627,20230619
8217,,100,,no delay,20220727,20230619
02-043080-001-M,1.0,168,168.0,no delay,20230420,20230620
8217,,5,,no delay,20220727,20230620
8169,,13,,no delay,20220627,20230620
04-00234311-001,1.0,26,26.0,invalid date,0,20230621
04-00191300-001-M,,504,,no delay,20220926,20230625
17667,,500,,no delay,20230506,20230625
17667,,235,,delay,20230708,20230625
17669,,686,,no delay,20230520,20230625
04-00436857-002,1.0,747,747.0,invalid date,0,20230625
T820077172,1.0,1800,1800.0,no delay,20230530,20230625
T820077172,1.0,905,905.0,no delay,20230624,20230625
M723532124,1.0,14,14.0,no delay,20230530,20230625
M723532124,1.0,2436,2436.0,no delay,20230530,20230625
M723532124,1.0,210,210.0,no delay,20230530,20230625
04-00325022-002,1.0,59,59.0,delay,20230810,20230702
REWORK-OEM,1.0,782,782.0,no delay,20230515,20230707
02-040847-001-M,1.0,68,68.0,no delay,20230415,20230707
02-040847-001-M,1.0,350,350.0,no delay,20230525,20230707
02-043751-001-M,1.0,116,116.0,no delay,20230520,20230707
02-043129-001-M,1.0,8,8.0,no delay,20230317,20230707
02-043129-001-M,1.0,8,8.0,invalid date,0,20230707
02-043129-001-M,1.0,47,47.0,invalid date,0,20230707
02-043129-001-M,1.0,384,384.0,no delay,20230430,20230707
436770003,,1200,,no delay,20230710,20230712
04-00512734-002,1.0,538,538.0,invalid date,0,20230713
02-029457-004,1.0,607,607.0,no delay,20230531,20230715
02-027489-001,1.0,510,510.0,no delay,20230527,20230715
02-028209-003,1.0,633,633.0,invalid date,0,20230715
MISC-OTH,1.0,633,633.0,no delay,20230531,20230718
B122180040-UNCOAT,,818,,no delay,20230417,20230722
C224483072,,1800,,no delay,20230619,20230722
C423988050,1.0,3000,3000.0,no delay,20230703,20230722
R811115C101,1.0,3382,3382.0,no delay,20230520,20230722
R811115C101,1.0,2882,2882.0,no delay,20230703,20230722
17669,,314,,no delay,20230520,20230722
M723532124,1.0,2954,2954.0,no delay,20230615,20230722
M723532124,1.0,2800,2800.0,no delay,20230630,20230722
M723532124,1.0,2646,2646.0,delay,20230724,20230722
10170-01,1.0,1900,1900.0,no delay,20230630,20230722
436770003,,1300,,no delay,20230717,20230722
10164-01,1.0,688,688.0,no delay,20230630,20230722
EX685A09,,100,,no delay,20230625,20230723
C425362050,1.0,1908,1908.0,no delay,20230724,20230726
04-00234311-001,1.0,35,35.0,invalid date,0,20230726
250-3753-01,1.0,30,30.0,no delay,20230715,20230804
C45594050,1.0,100,100.0,delay,20230805,20230804
04-00325022-002,1.0,19,19.0,delay,20230810,20230809
04-00325022-002,1.0,58,58.0,delay,20230810,20230809
B1533-D,1.0,1000,1000.0,delay,20230818,20230810
02-034007-002,,30,,no delay,20230407,20230814
C424783050,1.0,29,29.0,no delay,20230811,20230817
8072,,849,,no delay,20220727,20230818
C45594050,1.0,900,900.0,no delay,20230805,20230819
SUB-10169-01,1.0,1000,1000.0,no delay,20230630,20230819
SUB-10169-01,1.0,2369,2369.0,no delay,20230725,20230819
10164-01,1.0,812,812.0,no delay,20230630,20230819
17667,,265,,no delay,20230708,20230819
M723532124,1.0,154,154.0,no delay,20230724,20230819
M723532124,1.0,2800,2800.0,delay,20230821,20230819
M723532124,1.0,1246,1246.0,delay,20230925,20230819
EX685A09,,100,,no delay,20230730,20230819
02-045741-001-M,1.0,121,121.0,no delay,20230530,20230823
C45594050,1.0,200,200.0,delay,20231028,20230823
04-00234311-001,1.0,39,39.0,invalid date,0,20230829
04-00512734-002,1.0,7,7.0,no delay,20230209,20230829
250-3753-01,1.0,1170,1170.0,no delay,20230715,20230902
04-00527913-001,1.0,50,50.0,no delay,20230830,20230907
04-00527913-001,1.0,465,465.0,no delay,20230830,20230907
04-00512734-002,1.0,30,30.0,invalid date,0,20230907
04-00512734-002,1.0,191,191.0,delay,20230910,20230907
04-00512736-001,1.0,50,50.0,no delay,20230830,20230907
04-00512736-001,1.0,19,19.0,no delay,20230830,20230907
C18667070,1.0,231,231.0,no delay,20230220,20230913
C18667070,1.0,1200,1200.0,delay,20231013,20230913
C121030139,1.0,100,100.0,no delay,20230911,20230913
C425362050,1.0,417,417.0,no delay,20230908,20230915
M623186013,,1000,,invalid date,0,20230919
C425135050,1.0,356,356.0,no delay,20200406,20230919
T-9053308-10,1.0,1,1.0,invalid date,0,20230428
T-9053305-10,1.0,1,1.0,invalid date,0,20230428
C423988050,1.0,852,852.0,no delay,20230807,20230925
SUB-10169-01,1.0,131,131.0,no delay,20230725,20230925
C425362050,1.0,561,561.0,no delay,20230915,20230925
C425362050,1.0,639,639.0,delay,20231028,20230925
C420523050,1.0,960,960.0,no delay,20230807,20230925
17667,,500,,no delay,20230916,20230925
T820077172,1.0,2495,2495.0,no delay,20230826,20230925
T820077172,1.0,1105,1105.0,delay,20231028,20230925
R811115C101,1.0,5040,5040.0,no delay,20230911,20230925
04-00191300-001-M,,200,,no delay,20230227,20230925
M624279013,1.0,3780,3780.0,no delay,20230430,20230925
200262-00,1.0,649,649.0,no delay,20230828,20230925
02-045740-001-M,1.0,50,50.0,no delay,20230925,20230925
02-043750-001-M,1.0,32,32.0,no delay,20230410,20230925
02-043751-001-M,1.0,65,65.0,no delay,20230925,20230925
04-00512734-002,1.0,294,294.0,no delay,20230910,20230928
04-00512734-002,1.0,88,88.0,no delay,20230910,20230928
04-00512736-001,1.0,300,300.0,no delay,20230830,20230928
04-00512736-001,1.0,91,91.0,no delay,20230830,20230928
436770003,,1693,,no delay,20230926,20231023
C45594050,1.0,749,749.0,delay,20231028,20231023
C425362050,1.0,861,861.0,delay,20231028,20231023
C425362050,1.0,339,339.0,delay,20240120,20231023
10165-01,1.0,250,250.0,no delay,20230630,20231023
10165-01,1.0,2241,2241.0,no delay,20230715,20231023
04-00191300-001-M,,69,,no delay,20230227,20231023
M624279013,1.0,1375,1375.0,no delay,20230430,20231023
M723532124,1.0,1554,1554.0,no delay,20230925,20231023
M723532124,1.0,2996,2996.0,no delay,20231023,20231023
8217,,658,,no delay,20220727,20231020
C420059050,1.0,250,250.0,delay,20231030,20231021
C423989050,1.0,250,250.0,delay,20231030,20231021
C420059050,1.0,250,250.0,delay,20231030,20231023
C423989050,1.0,250,250.0,delay,20231030,20231023
8217,,7,,no delay,20220727,20231024
04-00527913-001,1.0,500,500.0,no delay,20231013,20231026
04-00512736-001,1.0,105,105.0,no delay,20230830,20231026
04-00512736-001,1.0,282,282.0,no delay,20231013,20231026
P/N,Ref Document,Ref Date
02-043129-002,20230103-H01 02-043129-002,20230103
R811118101,20230106-H01 R811118101,20230106
10169-01,20230106-H02 10169-01,20230106
02-034007-002,20230110-H01 02-034007-002,20230110
10185,20230110-H02 10185,20230110
8169,20230110-H03 8169,20230110
04-00325022-002,20230116-H01 04-00325022-002,20230116
M723532124 ,20230123-H01 M723532124,20230123
04-00512734-002,20230124-H01 04-00512734-002,20230124
91728,20230125-H01 91728,20230125
10164-01,20230126-H01 10164-01,20230126
10164-01,20230130-H01 10164-01 Revised 20230203,20230130
10169-01,20230130-H02 10169-01,20230130
12993-266,20230213-H01 12993-266,20230213
C224059072,20230215-H01 C224059072,20230215
02-034007-002,20230223-H01 02-034007-002,20230223
T820077172,20230227-H01 T820077172,20230227
02-034007-002,20230329-H01 02-034007-002,20230329
10165-01,20230425-H01 10165-01,20230425
02-034007-002,20230510-C01 02-034007-002,20230510
10165-01,20230518-C01 10165-01,20230518
10169-01,20230530-H01 10169-01,20230530
02-028209-002,20230713-H01 02-028209-002,20230713
10169-01,20230731-C01 10169-01,20230731
C425362050,20230817-H01 C425362050,20230817
